"","text"
"1721","@nirxcoin I'm very optimistic about your activities. I hope you can succeed. 
@249332451Com @wenfeng1991
@w1221w
tg:@ershixiong00
bsc:
0x5695A910Dd7972153B5958F962c2f59bd260f0a5

#Nigeria #Africa #cryptocurrency #giveway #COVID19 #airdropalert #Airdrop #giveaway https://t.co/GKP03PlWrZ"
"1722","I'm very optimistic about your activities. I hope you can succeed. 
@544148269Com @qi85364674
@1638753450q
tg:@ershixiong00
bsc:
0x5695A910Dd7972153B5958F962c2f59bd260f0a5

#Nigeria #Africa #cryptocurrency #giveway #COVID19 #airdropalert #Airdrop #giveaway https://t.co/GKP03PlWrZ https://t.co/ceJz9V2fNw"
"1723","I'm very optimistic about your activities. I hope you can succeed. 
@249332451Com @wenfeng1991
@w1221w
tg:@ershixiong00
bsc:
0x5695A910Dd7972153B5958F962c2f59bd260f0a5

#Nigeria #Africa #cryptocurrency #giveway #COVID19 #airdropalert #Airdrop #giveaway https://t.co/GKP03PlWrZ https://t.co/ceJz9V2fNw"
"1724","#EssentialWorkers &amp; their families were put at risk during #COVID19 #pandemic. Tell the #CAleg it’s time for #HazardPay for #EssentialHeroes https://t.co/2hcpnzuBnD"
"1725","India reports 80,834 new #COVID19 cases, 1,32,062 patient discharges, and 3,303 deaths in the last 24 hours, as per Union Health Ministry.

Total cases: 2,94,39,989
Total discharges: 2,80,43,446  
Death toll: 3,70,384
Active cases: 10,26,159  

Total vaccination: 25,31,95,048"
"1726","Covid-19 Cases Continue To Decline In Odisha, Death Rate On Surge 

#COVID19 #Odisha
https://t.co/bJoU7Monch #otv"
"1727","#Covid19 Update: Single-day infections witnessing a downtrend in #Odisha, 4469 test positive in last 24 hours. TPR drops to 7.2%. However, daily deaths continue to rise at an alarming rate.

Link: https://t.co/qAW1oB2Oc1 https://t.co/qrn98nQbol"
"1728","Surge In #COVID19 Deaths Due To Audit Of Unreported Fatalities: #Odisha Health Expert https://t.co/peNSq2sx7w #otv"
"1729","#Covid19 | Sufficient oxygen cylinders are available in #Odisha. As many as 16,000 oxygen cylinders were required during the peak in the State. Now, we have 40,000 cylinders available with us, says IPICOL Managing Director"
"1730","#Odisha reports 45 deaths due to #Covid19 in the last 24 hours; death toll mounts to 3302"
"1731","Global Covid-19 Caseload Tops 175.5 Million Mark

#COVID19 #coronavirus 
https://t.co/aI0x8XdHdm"
"1732","States/UTs To Get Over 4L Covid Vaccine Doses In Next 3 Days 

#COVID19 #COVID19Vaccine 
https://t.co/WD00N7hEgN"
"1733","COVID19 Lockdown Impact: Outdoor Pollution Drops, Allergens Level At Homes Increases

#COVID19 #Lockdown #pollution 
https://t.co/fJFL6onAgo"
"1734","37,81,32,474 samples tested for #COVID19, up to 12th June 2021. Of these, 19,00,312 samples were tested yesterday: Indian Council of Medical Research (ICMR) https://t.co/4QugxKgwW1"
"1735","With 80,834 new #COVID19 cases, India reported its lowest daily case in the last 71 days. The daily positivity rate is at 4.25%, less than 10% for 20 consecutive days. The recovery rate increases to 95.26%, in last 24 hours 1,32,062 recoveries were recorded: Union Health Ministry"
"1736","#BREAKING

509 new #COVID19 positive cases &amp; 926 recoveries reported in #Bhubaneswar in the last 24 hrs, till 9am on June 13

(BMC) https://t.co/AIPcjXsGsp"
"1737","Over 80K New Covid Cases, 3303 Deaths In 24 Hrs In India 

#COVID19 #coronavirus
https://t.co/KnMIjqC5SH"
"1738","People standing in queue outside a Vaccination Camp at Erode District from 4am onwards.

#Erode #ErodeCorona #ErodeCity #COVID19 #VaccinationDrive #ErodeDistrict #Tamilnadu #Vaccination #CovishieldVaccine #TamilNews #DailyNews #Tamil https://t.co/1MdZfeKhw7"
"1739","Tea shops will be permitted to serve parcels in the 27 districts categorized as Less Covid19 Cases reporting in the past days by TN Government

#TamilNadu #India #COVID19 #TNCovid19 #TNlockdown #CoronaPandemic #TamilNews #DailyNews #Tamil https://t.co/1dXJZtAZNM"
"1740","Erode Corporation - Vaccination Camps Tomorrow

#Erode #ErodeCorona #ErodeCity #COVID19 #VaccinationDrive #ErodeDistrict #Tamilnadu #Vaccination #CovishieldVaccine #TamilNews #DailyNews #Tamil https://t.co/SyMTlAsEW2"
"1741","State Wise Distribution of COVID19 Cases in India

#IndiaFightsCorona #CoronaVirusUpdates #COVID19 #Unite2FightCorona https://t.co/BZTjRtLvxU"
"1742","#Tamilnadu #COVID19 Update Today #IndiaFightsCOVID19 #TNCoronaUpdates #TNFightsCorona #TNCovid19 #Corona #CoronaSecondWave #TNLockdown #TN_Together_AgainstCorona https://t.co/lYobMNo9Sr"
"1743","Erode District - Vaccination Camps Tomorrow (14.06.2021)

#Erode #ErodeCorona #ErodeCity #COVID19 #VaccinationDrive #ErodeDistrict #Tamilnadu #Vaccination #CovishieldVaccine #TamilNews #DailyNews #Tamil https://t.co/WKoGGkrFO1"
"1744","Another COVID-free week in Greenwich schools | #coronavirus | #kids. | #children | #schools https://t.co/IBcPvcoAoY"
"1745","Ohio colleges lift mask mandates, relax COVID restrictions | #coronavirus | #kids. | #children | #schools https://t.co/DRmD2OW2hf"
"1746","N.J. reports 4 COVID deaths, 194 cases. Hospitalizations fall below 400 patients for 1st time in 8 months. | #coronavirus | #kids. | #children | #schools https://t.co/J5OcnKKPp1"
"1747","Law student who doesn’t want to get a Covid-19 shot sues his school, which says he has to | #coronavirus | #kids. | #children | #schools https://t.co/1vKkK48aMt"
"1748","Combating Racial Disparities in COVID-19 Vaccination | #coronavirus | #kids. | #children | #schools https://t.co/hEShKcguFa"
"1749","Mass. Schools Report 103 New COVID-19 Cases Among Students, Staff – NBC Boston | #coronavirus | #kids. | #children | #schools https://t.co/wTCuv2Jc3s"
"1750","Missing the point on Florida schools and COVID | #coronavirus | #kids. | #children | #schools https://t.co/Ik2jFIx3XD"
"1751","Schools across US brace for surge of kindergartners in fall | COVID-19 | #coronavirus | #kids. | #children | #schools https://t.co/kbc4TtQmkX"
"1752","COVID-19: Schools, colleges to remain closed till June 30 in Bangladesh | #coronavirus | #kids. | #children | #schools https://t.co/NNqhBrZesY"
"1753","Music Was One Thing COVID Couldn’t Ruin | #coronavirus | #kids. | #children | #schools https://t.co/fvz3lfAEyD"
"1754","Ohio colleges lift mask mandates, relax COVID restrictions | #coronavirus | #kids. | #children | #schools https://t.co/WgoQSJHgJP"
"1755","Another COVID-free week in Greenwich schools | #coronavirus | #kids. | #children | #schools https://t.co/mCerEOWV0H"
"1756","N.J. reports 4 COVID deaths, 194 cases. Hospitalizations fall below 400 patients for 1st time in 8 months. | #coronavirus | #kids. | #children | #schools https://t.co/UXVbUEx81t"
"1757","Combating Racial Disparities in COVID-19 Vaccination | #coronavirus | #kids. | #children | #schools https://t.co/ENGAJBhiX2"
"1758","COVID-19: Schools, colleges to remain closed till June 30 in Bangladesh | #coronavirus | #kids. | #children | #schools https://t.co/PnbkVoL8an"
"1759","Mass. Schools Report 103 New COVID-19 Cases Among Students, Staff – NBC Boston | #coronavirus | #kids. | #children | #schools https://t.co/D0I9oyv3nb"
"1760","Another COVID-free week in Greenwich schools | #coronavirus | #kids. | #children | #schools | #sextrafficing | #childsaftey https://t.co/vIeJE4VuXF"
"1761","Schools across US brace for surge of kindergartners in fall | COVID-19 | #coronavirus | #kids. | #children | #schools https://t.co/elHvquh8wu"
"1762","#parent | #kids | Music Was One Thing COVID Couldn’t Ruin | #coronavirus | #kids. | #children | #schools https://t.co/W06RM21evL"
"1763","Music Was One Thing COVID Couldn’t Ruin | #coronavirus | #kids. | #children | #schools https://t.co/mJoW4zC2CF"
"1764","Law student who doesn’t want to get a Covid-19 shot sues his school, which says he has to | #coronavirus | #kids. | #children | #schools https://t.co/E6ikGq3wkF"
"1765","Missing the point on Florida schools and COVID | #coronavirus | #kids. | #children | #schools https://t.co/uQBYvGeuic"
"1766","25-year-old new mother passes away due to COVID | ThePress https://t.co/ZLdgdrHxd7 #Maldives #Coronavirus #Covid19"
"1767","The latest Leave no one behind by Iyad! https://t.co/gGBl3uaZxV Thanks to @UNarabic @MoJamesApted @ivanzver #ai #covid19"
"1768","Day 460 - Delta variant is having an impact

Reported Cases of #COVID19 175.729 M
14 Day rolling average 413K, new cases/day

https://t.co/WwNA06T7Jy

#Covid_19 #COVID #COVID19Pandemic #COVIDIOTS #sundaymornings #SundayThoughts #onpoli #cdnpoli https://t.co/N0qt1NC6lb"
"1769","#ModiAtG7
#MEA briefing
PM @narendramodi called for support for India - South Africa proposal of #TRIPS Waiver at @wto for #COVID19 related technologies.

India is the only G20 country on the way to achieve #ParisAgreement compatibility

- P. Harish, Additional Secretary(ER), MEA https://t.co/Yg6q4FP33c"
"1770","#ModiAtG7
MEA on if G7+guest nations discuss origins of #COVID19? 
'The leaders had a very detailed, intense discussion on the need for reforming global health governance.
India has been deeply engaged with the international community at levels of G7, G20, World Health Assembly' https://t.co/1DOvQAOeNk https://t.co/sE93sZEA1O"
"1771","Today 14,016  #Covid19 positive in #TamilNadu

267 Death's Reported in #TamilNadu

 In #Coimbatore  1895

#Chennai alone 935 cases

 #TNCoronaUpdates #COVID19chennai #COVIDSecondWave 

@News18TamilNadu https://t.co/TfLVwyb71H"
"1772","#Canada, hell, the #world, look here, @mckdeb4 sums this up succinctly
A picture is worth a thousand words

#Freedom #Truth #cdnpoli #CivilDisobedienceMovement #onpoli #Covid19 https://t.co/3CtYZL5ptU"
"1773","So #Canada while there r more #children forced into child labour in the past year, our G7 Leaders r doing this:

What is wrong with this picture?

I guess #Covid19 doesn't care about #greed or #CrimesAgainstChildren or #HumanTrafficking or #pedophiles 

And neither do our leaders https://t.co/QGKnAV2Uvv https://t.co/xJluD2YDGU"
"1774","#TN #COVID19 

#TN today cases -  14,016

Deaths today  - 267
Discharged today -25,895
#Chennai today -       935
#Erode today      -      1,323
#Coimbatore today - 1,895"
"1775","Apparently the UK is as flexible with the #COVID19 science &amp; restrictions as Canada when it comes to ‘special events’ #Hypocrites #G7Summit2021 https://t.co/8EefiITuXP"
"1776","#IndiaFightsCorona #Rajasthan
13th June 21 #Covid19 6pm Bulletin

Plz #WearAMask #StaySafe

308 Positive &amp; 7 Deaths Reports
Cumulative 949684
Active 7441
Deaths 8822
Recovered 1260

49 #Alwar
48 #Jaipur
22 #Bikaner
19 #Jhunjhunu
18 #Jodhpur
17 #Sikar
16 #Hanumagarh
Chart <U+0001F447> https://t.co/FmYeGtmlV1"
"1777","<U+0001F4D7> Poems from Quarantine <U+0001F9A0>

Become inspired to grow <U+0001F331> and use the pandemic for good <U+0001F4D6> 

Available now <U+2B07><U+FE0F> 
https://t.co/mxIs2XHnR4
https://t.co/hmBGZPSaJd

#books #reading #poetry #ldnont #quarantine #pandemic #covid19 #history https://t.co/TrUngvefPV"
"1778","@KrishnaPraRadhe Difficult to count all the people that I have been helping during #COVIDSecondWave 
But this week I helped 3 people:
1. 20 Kg rice for Orphanage
2. 25 Kg rice + Rs. 500 for a poor laborer family facing food crisis. 
3. Rs. 3000 for books of a poor kid. 

#Covid19 #coronavirus"
"1779","#COVID19 cases in #Kerala today,
Cases are coming down, deaths still high. #TPR should touch or go below 10, for more #lockdown relaxations. 

Number of cases - 11,584

Deaths today - 206

Samples Tested - 94,677

Test Positivity Rate (TPR) - 12.24%

Recovered today - 17,856"
"1780","#TN #COVID19  cases coming down by almost a day!

#TN today -  14,016

Number of samples tested - 1,77,295

 Deaths today  - 267

Discharged today -25,895

#Chennai today -       935

#Erode today      -      1,323

#Coimbatore today - 1,895

#getvaccinatedsoonindia"
"1781","Day 500 <U+0001F1EE><U+0001F1F3> #COVID19 update

Active: 10,26,159 <U+0001F53D> 54,531

R-Rate: 95.26% <U+0001F53C>
F-Rate: 1.26% <U+0001F53A>

Confirmed: 2,94,39,989<U+0001F53A>80,834
Recovered: 2,80,43,446 <U+0001F53C>1,32,062
Deaths: 3,70,384<U+0001F53A>3,303 (With backlog)

Samples Tested: 37,81,32,474 <U+0001F53C> 19,00,312

More insights
https://t.co/irCYTGjp2Y https://t.co/tZ4VUJgj3l"
"1782","13-Jun: #Kerala #COVID19 update

Active Cases: 1,23,003 (-6,478) <U+2705>

Confirmed: 27,28,239 (+11,584)
Recovered: 25,93,625 (+17,856)
Deaths:       11,181 (+206)
Tested: 2,12,20,925 (+94,677)
TPR: 12.86% (12.24%)<U+0001F6A9>
CRR: 95.07% CFR: 0.41%"
"1783","13-Jun: #AndhraPradesh #COVID19 update

<U+0001F3E5>Active Cases: 85,637 (-5,780) <U+2705>
<U+0001F4C9>TPR : 8.85% (6.58%) <U+0001F6A9>

<U+0001F4C8>CRR: 94.61% CFR: 0.66% https://t.co/xKSEaKrUnL"
"1784","13-Jun: #UttarPradesh #COVID19 update

Active Cases: 8,986 (-806)<U+2705>

Confirmed: 17,02,624 (+468)
Recovered: 16,71,852 (+1,221)
Deaths:    21,786 (+53)
Tested:   5,33,45,463 (+2,89,943)
TPR: 3.19% (0.16%) <U+2705>
CRR: 98.19% CFR: 1.28%"
"1785","13-Jun: #Delhi #COVID19 update

<U+0001F3E5>Active Cases: 3,466 (-144) <U+2705>
<U+0001F4C9>TPR:    7.06% (0.35%) <U+2705>
<U+0001F4C8>CRR:   98.02% CFR: 1.73%

Congrats friends in Delhi, as the markets are going to open from Monday after almost 2 months. 

Please don't let the guard down <U+0001F64F> https://t.co/gDXOfum8Qk"
"1786","13-Jun: #Rajasthan #COVID19 update

Active Cases: 7,441 (-959) <U+2705>

Confirmed: 9,49,684 (+308)
Recovered: 9,33,421 (+1,260)
Deaths:    8,822 (+07)
Tested:    1,12,06,071 (+44,742)
TPR : 8.47% (0.69%) <U+2705>
CRR: 98.29% CFR: 0.93%"
"1787","#Covid19 Vaccination Mobile Truck activation underway in eNseleni Mall under uMhlathuze Local Municipality. @kznhealth is on site to  register and vaccinate senior citizens. https://t.co/mOYFGMbXZO"
"1788","World leaders gathered at the #G7 Summit in #Cornwall discussed the possibility that a laboratory leak in central #China's #Wuhan city may have a connection with the start of the #COVID19 pandemic https://t.co/x85FwzBAsb https://t.co/qx5gcXQe96"
"1789","FDA Issues #EUA to GSK for #COVID19 Treatment Sotrovimab 
https://t.co/bm60A0OBGk https://t.co/5H0Sz27Zfj"
"1790","Given the typically 'different' nature of organising &amp; experiencing any travel/visit to Japan, magnified several times over by #COVID19, ongoing seamless coordination between @IndiaSports &amp; @MEAIndia is setting the stage for #TeamIndia to be at its performing best!

#Tokyo2020 https://t.co/hkB6v1Z8v9 https://t.co/hcaSk3jQwW"
"1791","TODAY'S COVID-19 UPDATES (13/06/2021)
#Covid19Updates
#forQatarStayatHome
#ministryofpublichealth
#GCOQatar
#COVID19
#malayalam986
#qatarsno1radiostation
#weloveqatar https://t.co/RhgqlejaCk"
"1792","<U+0001F4E3> #Covid19 Report of 318 positives identified today in #Balasore district : 13/06/2021

@DBalasore @HFWOdisha @IPR_Odisha @balasoremunici1 

#COVIDSecondWave #BalasoreCares #OdishaCares #OdishaFightsCorona #Covid19 #CoronaPandemic #<U+0B2E><U+0B4B><U+0B30><U+0B2C><U+0B3E><U+0B32><U+0B47><U+0B36><U+0B4D><U+0B71><U+0B30> https://t.co/I3nzs3CjlR"
"1793","#India reports 80,834 new #COVID19 cases, 3,303 deaths and 1,32,062 discharges in the last 24 hours, as per Health Ministry.
#GetVaccinatedASAP"
"1794","#COVID19 cases in #Kerala today,
Cases are coming down, deaths still high. #TPR should touch or go below 10, for more #lockdown relaxations. 

Number of cases - 11,584

Deaths today - 206

Samples Tested - 94,677

Test Positivity Rate (TPR) - 12.24%

Recovered today - 17,856"
"1795","#TN #COVID19  cases coming down by almost 1000, a day!

#TN today -  14,016

Number of samples tested - 1,77,295

 Deaths today  - 267

Discharged today -25,895

#Chennai today -       935

#Erode today      -      1,323

#Coimbatore today - 1,895

#GetVaccinated"
"1796","Thank you to our donors &amp; community partners for leveraging #philanthropy so communities most affected by #COVID19, hurricanes, wildfires, flooding, complex humanitarian crises &amp; other disasters can recover stronger. Read our annual report: https://t.co/aGJODiFxED #CDP4Recovery https://t.co/RNmHD8ne5A"
"1797",".@HIASrefugees received a $200,000 grant from our #COVID19 Fund to mitigate COVID-19-related risks among women, girls, LGBTQ, and other marginalized groups to ensure gender-based violence. Read their impact story in our report: https://t.co/q28mfDUYld #philanthropy @CandidDotOrg https://t.co/0rKqlQH8qn"
"1798","Come #GETTHEVAX today at The Maritime Aquarium from 10am-5pm. Free admission voucher to the Aquarium for anyone who gets vaccinated! Both Pfizer (ages 12+) &amp; J&amp;J (ages 18+) available at this free walk-up #COVID19 vaccination clinic. No appointment needed! Let's #GetVaccinated! https://t.co/ty5rYVeoxU"
"1799","Ocugen Faces Major Slowdown for COVID-19 Vaccine as FDA Recommends BLA! The announcement comes right as it was finalizing its EUA application! $OCGN #Covid19 #vaccine #FDA 
https://t.co/rHXOMGgQOm"
"1800","spread love, not covid-19 <U+0001F637>

#COVID19 
#SpreadLove <U+0001F49B><U+0001F9E1><U+2764><U+FE0F>"
"1801","“Happiness is the only thing that multiplies when you share it.” 

oh wait, covid-19 too! 

#COVID19"
"1802","DEVI PARASHAKTI - AKASHIC READING | 13 JUNE 
More you're integrated to ur consciousness, more you manifest bliss &amp; reside in higher vertical timezone
YT: https://t.co/4t1KqM3VBJ

#COVID19 #Nithyananda #KAILASA
@SimpleIndian1 @Werner @kanyewest @erurerekura @swws9496 @TreRey"
"1803","DEVI PARASHAKTI - AKASHIC READING | 13 JUNE 
More you're integrated to ur consciousness, more you manifest bliss &amp; reside in higher vertical timezone
YT: https://t.co/4t1KqM3VBJ

#COVID19 #Nithyananda #KAILASA
@SimpleIndian1 @RSSorg @guNagarbhaH @TwoPaddocks @LarsSWWE @amyschumer https://t.co/RMe8H3cb3K"
"1804","DEVI PARASHAKTI - AKASHIC READING | 13 JUNE 
More you're integrated to ur consciousness, more you manifest bliss &amp; reside in higher vertical timezone
YT: https://t.co/4t1KqM3VBJ

#COVID19 #Nithyananda #KAILASA
@indumathi37 @Xbox @ded @Bjergsen @sppl @swati_gs @Sshivatma @gamaliel https://t.co/wvSYMALURz"
"1805","#TamilNadu | #COVID19 |  13 June

• TN - 14,016

• Total Cases  - 23,53,721

• Today's  Discharged - 25,895

• Today's Deaths - 267

• Today's Tests - 1,77,295

• Coimbatore - 1,895

• Erode - 1,323

• Chennai - 935

#TNCoronaUpdates  #COVID19India https://t.co/ax23cEWHHo"
"1806","#COVID19 cases in #Kerala today,
Cases are coming down, deaths still high. #TPR should touch or go below 10, for more #lockdown relaxations. 

Number of cases - 11,584

Deaths today - 206

Samples Tested - 94,677

Test Positivity Rate (TPR) - 12.24%

Recovered today - 17,856 https://t.co/PeJNZZSL6h"
"1807","I Found The Source of the Coronavirus https://t.co/UPAHzjMTGb via @YouTube Posted a year ago. Pay attention to this guy when it comes to #China He was right about #covid19 then and understands EXACTLY what they’ve doing NOW #COVID #ChinaGlobalThreat #ChinaLiedMillionsDied"
"1808","EMA's head of vaccine strategy suggested EU countries choose #mRNA #COVID19 #vaccines instead of AZ vaccine for younger populations and people aged over 60 as more choices are available now.
https://t.co/kKjlU6Gx3J"
"1809","@ABC7NY - #MayoralRace #News

#Elections2021

#NYC Waits
for
#Emdorsement 
for
#Mayor of #NewYorkCity

By #Conservative
#BuckSexton

Recently Rescued
from
#Manhatran
#SuperSecretBunker

Reporting on
#Covid19 Pocalyse
#SpyPocqlypse

That Seized Island 

https://t.co/sjB3dO0chG https://t.co/enW8iowi3D"
"1810",".@BorisJohnson @JustinTrudeau @POTUS @EUCouncil @RegSprecher @ScottMorrisonMP the world needs #COVID19 vaccine access now. The #G7 must step up to #EndThePandemic for all by sharing 1 billion doses through #COVAX by September <U+0001F30D> https://t.co/vACADxbcQt"
"1811","Presstitute shit rag @CP24 should publish pictures of these crooks ""social distancing"" &amp; ""following #COVID19 rules"" before &amp; after THIS picture. #Hypocrisy https://t.co/EQ9FtdgIkC"
"1812","For all those brainless idiot sheep who are clamoring for a #VaccinePassport so they can ""travel"" or "" get on with their lives""! What happens when you catch #COVID19 anyway &amp; your ""passport' is then fit for asswipe? #Stupidity #COVIDIOTS https://t.co/oGKqhi19nx"
"1813","What's happens when you catch #COVID19 despite being vaccinated?
Don't listen to presstitute propaganda #MainstreamMedia shitrags pushing
#MedicalFascism &amp; #VaccinePassport in spite of #HumanRights!
#NoVaccinePassportsAnywhere #Toronto #TOpoli #MSMLiars
https://t.co/H1MkXXNnFA"
"1814","@BorisJohnson 22,000 at the football yet you won't let more at weddings, I worked through this pandemic in health care, I've had my vaccine and cancelled my wedding so manytimes,My mental health has been effected just let us be free
#weddings #COVID19 #weddingday @WAWofficialUK"
"1815","In Abrahamic religion, people connect pandemic to God.  
In Dharmic religion (esp, Hinduism), people connect pandemic to Goddess (Remember Goddess of smallpox and now Corona Devi temples been reportedly built in India). 
#CoronaVirus #CoronaMata"
"1816","When people lose faith on the govt, they build temples. 
#CoronaVirus 
https://t.co/nqrMW6FlNE"
"1817","#IndiaFightsCorona #Rajasthan
13th June 21 #Covid19 6pm Bulletin

Plz #WearAMask #StaySafe

308 Positive &amp; 7 Deaths Reports
Cumulative 949684
Active 7441
Deaths 8822
Recovered 1260

49 #Alwar
48 #Jaipur
22 #Bikaner
19 #Jhunjhunu
18 #Jodhpur
17 #Sikar
16 #Hanumagarh
Chart <U+0001F447> https://t.co/WgdShMwT7U"
"1818","Chillin this lovely #sundaymorning at the #chineseculturalcenter in #scarborough waiting for that 2nd #vaccine!

#<U+1D20><U+1D00><U+1D04><U+1D04><U+026A><U+0274><U+1D07>ss<U+1D00><U+1D20><U+1D07><U+029F><U+026A><U+1D20><U+1D07>s #covid19 #scarborough #toronto https://t.co/FCTYuoJ9V3"
"1819","#COVID19 update #Cuttack District, June 13, 2021
   
New +ve cases reported: 413.
CMC: 102
Rural &amp; other ULBs- 284
Other Dist-27

New recoveries: 734
Urban: 263
Rural: 471
Detail as follows. https://t.co/HIagtacMO2 https://t.co/UZxUDuRhrl"
"1820","#UNESCO report “National #Education Responses to #COVID19 #School Closures” underlines the need to focus on those excluded during the #pandemic https://t.co/GyjQUFmTU7 https://t.co/FMRYUt0ZYf"
"1821","Latest News on #Coronavirus and #HigherEducation https://t.co/GfOYTvjS7l https://t.co/zgoClv8qNr"
"1822","Vietnam approves Pfizer-BioNTech COVID-19 vaccine for emergency use
https://t.co/O2MWFZiffY
#Vietnam #healthcare #pandemic #vaccination #vaccines #COVID19"
"1823","#SpreadFactsNotFear. Tell your family and friends that there is no evidence that #COVID19 is transmitted through safely prepared food

#SafeFood #FoodSafety #WorldFoodSafetyDay #WorldFoodSafetyDay2021 

@UNFAO @WHOSriLanka https://t.co/hspcFBbISb"
"1824","#TamilNadu reports 14,016 new #Covid cases and 267 deaths today #coronavirus https://t.co/2UgiL80m7D"
"1825","530 more sickened &amp; another 7 #COVID19 deaths yesterday

#ForThePeople: remember this #FordFail government

But by all means, #KeepDancing <U+0001F644>
#ONpoli #MissPoli
#MississaugaLakeshore #DeservesBetter: @EA_Mendes
#MendesForMississaugaLakeshore 
#VoteFordOut2022
#UnsafeJune https://t.co/9DuKxyorst"
"1826","This is why you should get vaccinated even if you had #COVID19 <U+2B07>

#BBMPFightsCovid19 #LargestVaccineDrive https://t.co/oOvjoMDpZR"
"1827","How Many Times Did They Tell People The Plan In Advance? https://t.co/e9InCE2Kqb #planned #COVID19 #COVID"
"1828","we are told the #covid19 vaccination is voluntary. I cant have it due to vaccine allergies. I coded my GP file as do not share my GP data file &amp; don't want covid19 invitation, NHS England just ignored my legal rights helped themselves to my data &amp; refuse to stop texting me! THUGS"
"1829","Lockdowns Do Not Control the #Coronavirus: 
The Evidence https://t.co/32TpogPfGI"
"1830","During the #COVID19 pandemic, and the accompanying challenges of the accelerating digital public relations variables, we succeeded in preparing a communication campaign for ASJC @YORKksa

Read our highlights:
<U+0001F447><U+0001F3FB><U+0001F447><U+0001F3FB>

#W7Worldwide"
"1831","England is investigating Boris Johnson over his handling of the pandemic. 20,000 people died. In the US 500,000 plus people died. Are we investigating trump? No, I didn’t think so. #pandemic #covid19"
"1832","Our #CoVid19 times https://t.co/cEbdofWWpo"
"1833","Our #CoVid19 times https://t.co/l2b2D1MUgN"
"1834","Distribution of Food Packets was done by the Volunteers of #KalingaAidFoundation at City Hospital &amp; Dargah Bazar area Cuttack. Thanks to our Donors, Volunteers &amp; @odisha_police for their noble work.

#OdishaCares #COVID19

@CMO_Odisha @dcp_cuttack @CMCCuttack @UN @CuttackDM https://t.co/vt8YVowajj"
"1835","14,016 #Covid19 positive cases, 267 deaths in Tamil Nadu on June 13.

#Coimbatore- 1895 (19 deaths)
#Erode- 1323 (3 deaths)
#Chennai- 935 (27 deaths)
#Tiruppur- 820 (3 deaths)
#Salem- 855 (11 deaths)

@xpresstn @NewIndianXpress https://t.co/dc7Hq9GSgR"
"1836","Tamil Nadu government allowed opening of #TeaShops in 27 district where #Covid19 spread is less from June 14.

Only parcels are allowed from 6 am to 5 pm.

@xpresstn @NewIndianXpress https://t.co/Z4KgDCvH4s"
"1837","Rajasthan reports 308 new #COVID19 cases, 7 deaths, and 1260 recoveries in the last 24 hours https://t.co/nT9XAZpaUz"
"1838","India's #COVID19 figures:

- Active Caseload declines to 10,26,159

- 2,80,43,446 total Recoveries
 
- Recovery Rate increases to 95.26% https://t.co/ZCDjZfrdl7"
"1839","#UttarPradesh CM Yogi Adityanath reviews #COVID19 situation at Lucknow, instructs to effectively continue arrangements for prevention, treatment of Covid-19 in accordance with policy of 'Trace, Test and Treat'. https://t.co/i8XR57zwBU"
"1840","37,81,32,474 samples tested for #COVID19, up to 12th June 2021. Of these, 19,00,312 samples were tested yesterday: Indian Council of Medical Research (ICMR) https://t.co/u1hKftSIb6"
"1841","Andhra Pradesh reports 6,770 new #COVID19 cases, 12,492 recoveries and 58 deaths in the last 24 hours. https://t.co/GQoq5BprBZ"
"1842","Tamil Nadu govt allows tea shops to function from tomorrow, June 14. Only parcel services allowed. 

The govt also allows construction companies to function with 50% of employees. 

#TamilNadu #lockdown #COVID19 #coronavirus #TeaShops https://t.co/lb90RoiO5x"
"1843","Tamil Nadu govt allows e-Sevai centres in government offices to function from tomorrow. 

Sweet and savory shops in the state are allowed to operate from tomorrow between 8 am and 2 pm.

#TamilNadu #lockdown #Esevai #COVID19 #coronavirus"
"1844","India reports 80,834 new #COVID19 cases, 1,32,062 patient discharges, and 3,303 deaths in the last 24 hours, as per Union Health Ministry. https://t.co/C9q3QO6sno"
"1845","#TamilNadu | #COVID19 |  13 June

• TN - 14,016

• Total Cases  - 23,53,721

• Today's  Discharged - 25,895

• Today's Deaths - 267

• Today's Tests - 1,77,295

• Coimbatore - 1,895

• Erode - 1,323

• Chennai - 935

#TNCoronaUpdates  #COVID19India https://t.co/i94IGuvjTF"
"1846","#TamilNadu | #COVID19 |  13 June

• TN - 14,016

• Total Cases  - 23,53,721

• Today's  Discharged - 25,895

• Today's Deaths - 267

• Today's Tests - 1,77,295

• Coimbatore - 1,895

• Erode - 1,323

• Chennai - 935"
"1847","Niikai's 2021 Awesome Fortnite Video Game Party Highlight

#videogameparty #fortniteparty #bestbirthdaypartyidea #teenagerbirthdayparty #gametruck #delawaregameparty #mobilecloudvideogameparty #tailgateparty #covid19 #blackbusiness

https://t.co/TCh1N7XPgU or call 302-531-5858 https://t.co/KMocpQZznY"
"1848","Niikai's 2021 Awesome Fortnite Video Game Party TikTok

#videogameparty #fortniteparty #bestbirthdaypartyidea #teenagerbirthdayparty #gametruck #delawaregameparty #mobilecloudvideogameparty #tailgateparty #covid19 #blackbusiness

https://t.co/TCh1N7XPgU or call 302-531-5858 https://t.co/E9GHaL0dMC"
"1849","#COVID19 #SPOKEN ON #CUE  | Jun 10, 2021 #GlobalNews
 https://t.co/4FdDu2phFX"
